source_id,target_id,rtt
6475,6878,40.061979
6845,6878,78.097728
6788,6878,38.787889
6800,6878,37.684482
6417,6878,67.150049
6510,6878,62.660079
6669,6878,8.924652
6453,6878,46.540813
6544,6878,33.415316
6956,6878,37.760661
7064,6878,47.44242
6402,6878,40.030986
6323,6878,57.05035
7175,6878,32.425778
6335,6878,11.3383
6623,6878,26.456582
6624,6878,95.749935
7236,6878,48.519738
6538,6878,68.326085
6844,6878,55.957618
6852,6878,65.031046
6936,6878,120.278959
6225,6878,37.694348
7066,6878,47.064644
6426,6878,42.570092
6340,6878,37.995183
6829,6878,61.330307
6414,6878,51.580219
6448,6878,36.716484
6714,6878,36.921867
6722,6878,
6545,6878,42.394786
6952,6878,38.173327
6658,6878,69.708726
6965,6878,41.573301
6248,6878,27.996603
6734,6878,19.027848
6251,6878,29.039204
6740,6878,64.384655
6245,6878,43.342865
6198,6878,12.798912
7210,6878,198.39357
6269,6878,25.910176
6864,6878,59.097769
6942,6878,18.732269
7173,6878,55.248872
7171,6878,51.694654
6382,6878,33.870236
7130,6878,32.983436
6423,6878,44.520636
6350,6878,
6446,6878,33.696614
6049,6878,25.527034
6441,6878,34.509703
6536,6878,45.66888
7084,6878,
6552,6878,56.15922
6512,6878,37.049667
6609,6878,36.643661
6674,6878,
6695,6878,34.723573
6501,6878,42.318779
6716,6878,51.980616
6647,6878,41.277064
7125,6878,40.086349
6654,6878,33.948213
6741,6878,73.436752
7132,6878,85.924715
6327,6878,45.222297
6295,6878,78.296657
6094,6878,33.532403
6435,6878,48.333385
6235,6878,
6316,6878,38.460363
6424,6878,36.897552
6496,6878,57.269111
6509,6878,59.414461
6675,6878,40.870937
6762,6878,69.366408
7085,6878,50.552959
7181,6878,56.55426
6895,6878,
6276,6878,46.943073
7110,6878,55.596417
6328,6878,76.795758
7213,6878,34.730181
6541,6878,53.544165
6438,6878,59.61025
7051,6878,57.161346
6604,6878,69.984971
7086,6878,75.421728
6352,6878,57.802787
7089,6878,68.340578
6120,6878,35.045434
6476,6878,33.777231
7013,6878,32.012926
6686,6878,29.524032
6042,6878,21.017386
6959,6878,38.931404
7083,6878,36.242616
6737,6878,34.811261
6635,6878,34.959797
6937,6878,31.513188
7101,6878,33.107623
6025,6878,27.461358
7005,6878,31.985563
6043,6878,40.371064
6278,6878,38.816543
6320,6878,42.804156
6430,6878,42.068676
6443,6878,56.28071
6728,6878,42.729644
6823,6878,57.406743
6494,6878,
6648,6878,48.092906
6513,6878,47.335489
6696,6878,45.489021
6717,6878,51.562564
6736,6878,41.397558
6873,6878,51.439414
6921,6878,36.775087
6949,6878,36.234558
7000,6878,44.757682
7042,6878,48.02458
7048,6878,59.758002
7071,6878,56.287545
7122,6878,34.693577
6117,6878,32.468783
6272,6878,36.876737
6250,6878,32.770296
6239,6878,35.703898
6202,6878,21.148472
6213,6878,
7136,6878,42.893713
6081,6878,39.73842
6346,6878,24.026624
6313,6878,25.754612
6336,6878,30.631198
6357,6878,30.106738
6385,6878,31.742838
6387,6878,31.562521
6576,6878,
6548,6878,27.288029
6531,6878,26.659931
6550,6878,31.819125
6558,6878,30.27128
6396,6878,29.394605
6439,6878,30.110957
6761,6878,38.393397
6679,6878,31.559018
6787,6878,29.336919
6789,6878,30.260668
6715,6878,38.187277
6812,6878,34.606901
6806,6878,37.457613
6824,6878,27.369657
6826,6878,46.23661
6813,6878,34.330787
6814,6878,28.501823
6858,6878,33.027047
6838,6878,28.825531
6869,6878,45.298867
6908,6878,29.174154
6922,6878,28.796947
7006,6878,30.226649
7022,6878,33.941033
7054,6878,31.431871
7012,6878,33.714376
7034,6878,
6518,6878,
7096,6878,33.573048
7208,6878,31.387224
6249,6878,30.180053
7151,6878,31.711564
6642,6878,28.675036
6237,6878,29.076108
6267,6878,33.718666
6082,6878,31.736846
6567,6878,34.30541
6511,6878,27.183785
6514,6878,40.572597
6342,6878,35.839076
6374,6878,36.509355
6630,6878,31.525005
6655,6878,31.690929
6877,6878,41.64028
6632,6878,34.825551
6268,6878,34.70376
6862,6878,33.821651
7231,6878,43.76024
6863,6878,34.036278
6445,6878,31.92713
6523,6878,38.222791
6390,6878,35.065311
6490,6878,32.237412
6540,6878,
6520,6878,33.323849
6618,6878,31.735562
6847,6878,45.48554
6780,6878,30.878195
7149,6878,47.61688
6878,6402,40.092828
6323,6402,37.670464
6845,6402,10.632459
6544,6402,34.251355
7175,6402,13.105269
6956,6402,38.204988
6788,6402,33.835284
6669,6402,40.661299
7073,6878,47.568632
6800,6402,45.663566
7064,6402,29.723175
6510,6402,62.859182
6417,6402,21.493487
6475,6402,45.43212
6829,6402,55.083722
6414,6402,44.741968
6936,6402,165.601985
7066,6402,44.786419
6453,6402,
6335,6402,40.558504
6623,6402,63.92265
6844,6402,44.011882
6624,6402,138.408348
7236,6402,19.024843
6538,6402,99.318026
6225,6402,39.503775
6852,6402,60.848313
6952,6402,45.89707
6251,6402,39.780761
6658,6402,67.420926
6722,6402,61.869499
6714,6402,51.992164
6426,6402,52.725323
6734,6402,42.582743
6340,6402,37.403131
6248,6402,36.995511
6740,6402,64.741511
6448,6402,45.030954
6545,6402,41.029526
7210,6402,46.356854
6965,6402,42.073394
6245,6402,33.855081
6198,6402,31.617988
6942,6402,32.206367
6864,6402,58.411301
6269,6402,44.176987
7084,6402,54.163727
6350,6402,
7173,6402,72.981404
6049,6402,37.552613
6441,6402,48.079041
6536,6402,58.455347
7171,6402,52.740896
6423,6402,41.151921
7130,6402,50.011064
6446,6402,34.103917
6382,6402,39.915257
7125,6402,39.214002
6695,6402,37.499798
6501,6402,41.47448
6716,6402,40.155285
7132,6402,57.850528
6552,6402,41.338989
6609,6402,37.201573
6647,6402,48.298084
6674,6402,
6512,6402,36.61875
6327,6402,24.395669
6295,6402,69.855479
6741,6402,73.406533
6654,6402,24.304241
6235,6402,
6435,6402,58.032295
6496,6402,58.901467
6895,6402,
6762,6402,58.084238
6094,6402,25.649915
6509,6402,36.968048
6675,6402,29.688196
6316,6402,38.140259
6424,6402,37.468174
7181,6402,41.753893
7085,6402,33.176135
7110,6402,42.157945
6276,6402,37.203066
6042,6402,13.421607
7051,6402,64.483173
7086,6402,54.74313
6328,6402,55.812414
6438,6402,5.715047
7213,6402,22.968827
6352,6402,56.543543
7089,6402,47.242729
6604,6402,44.329591
6541,6402,13.067048
6959,6402,39.424908
6476,6402,37.218898
6686,6402,17.014077
6120,6402,45.428364
7005,6402,35.141471
6025,6402,31.092582
7013,6402,30.828439
6635,6402,33.33612
7101,6402,36.431658
6043,6402,30.248087
6937,6402,36.621151
6737,6402,33.060266
7083,6402,38.896814
6278,6402,34.323608
6320,6402,41.896703
6494,6402,
6443,6402,48.19501
6430,6402,40.224957
6513,6402,36.879922
6921,6402,31.724998
6949,6402,32.057046
6736,6402,37.1233
6696,6402,35.734381
6728,6402,44.922831
6717,6402,50.131983
6823,6402,35.047987
6873,6402,45.483255
6648,6402,46.937323
7042,6402,31.237275
7048,6402,43.498028
7071,6402,43.363557
7000,6402,41.851977
7122,6402,34.972013
6250,6402,28.175208
6117,6402,35.014645
7136,6402,37.910904
6313,6402,27.686189
6213,6402,
6272,6402,32.774035
6081,6402,38.875239
6202,6402,38.0205
6239,6402,34.341633
6336,6402,26.78163
6385,6402,29.269027
6357,6402,36.905947
6346,6402,39.493947
6387,6402,28.950031
6550,6402,34.245427
6548,6402,30.74345
6558,6402,27.604275
6439,6402,27.408777
6396,6402,33.62026
6679,6402,29.185662
6789,6402,30.869653
6576,6402,
6531,6402,33.75829
6806,6402,40.303678
6761,6402,35.780348
6715,6402,28.733913
6787,6402,34.485797
6812,6402,32.171589
6814,6402,30.958086
6813,6402,31.830615
7012,6402,35.435761
6826,6402,32.4426
6838,6402,27.56019
7006,6402,32.700397
6858,6402,29.382289
6908,6402,42.593159
6824,6402,33.947093
6922,6402,29.676732
6869,6402,32.107461
7022,6402,37.678437
7034,6402,44.351734
7054,6402,36.457464
7151,6402,33.922074
7096,6402,45.427806
6518,6402,
7208,6402,28.725986
6082,6402,32.292314
6237,6402,31.608579
6249,6402,30.3425
6642,6402,31.071645
6511,6402,42.991972
6374,6402,34.822899
6267,6402,37.71472
6342,6402,36.699361
6514,6402,31.11366
6567,6402,33.118683
6632,6402,31.314831
6630,6402,34.873273
6655,6402,35.952795
6863,6402,31.341135
7231,6402,33.085997
6268,6402,33.442073
6390,6402,28.402514
6490,6402,34.619865
6520,6402,31.79577
6523,6402,32.097982
6445,6402,24.716108
6862,6402,44.28681
6877,6402,32.407309
6540,6402,
6788,6845,40.653337
7149,6402,25.092838
6323,6845,58.18061
6402,6845,10.578997
