source_id,target_id,rtt
6510,6878,62.601485
7064,6878,47.47487
6800,6878,37.777304
6956,6878,37.583931
7175,6878,32.395666
6845,6878,78.072681
6323,6878,56.968663
6544,6878,33.368449
6788,6878,38.83107
6669,6878,8.97715
6417,6878,66.758394
6402,6878,40.085551
6475,6878,39.355143
6453,6878,46.568337
7236,6878,48.76302
6538,6878,68.379456
6225,6878,37.715105
6624,6878,95.712406
6623,6878,26.421514
6844,6878,55.971246
6335,6878,11.344596
6936,6878,124.217635
6829,6878,61.383323
7066,6878,47.006463
6852,6878,65.126862
6414,6878,51.660007
6340,6878,37.929901
6426,6878,42.58593
6448,6878,35.32502
6722,6878,
6952,6878,36.741777
6545,6878,42.367469
6714,6878,36.910135
6248,6878,25.996845
7210,6878,194.170034
6734,6878,18.975179
6740,6878,64.308549
6965,6878,41.541323
6658,6878,69.830196
6251,6878,28.95425
6198,6878,12.758599
6245,6878,43.39329
7171,6878,51.629937
7173,6878,55.237314
6441,6878,34.69367
6049,6878,25.434264
7084,6878,
6350,6878,
6536,6878,45.663435
6942,6878,18.628102
6382,6878,33.897301
6423,6878,44.525117
7130,6878,32.967865
6269,6878,25.877533
6864,6878,63.509931
6446,6878,33.645121
6501,6878,42.347031
6512,6878,37.030177
6609,6878,36.671448
6647,6878,41.311347
6695,6878,34.747046
6674,6878,
7125,6878,40.138979
6716,6878,52.020684
6654,6878,34.252184
6327,6878,45.210957
6552,6878,56.181048
6295,6878,78.3925
7132,6878,85.999055
6741,6878,73.455162
6094,6878,33.463388
6235,6878,
6316,6878,38.39635
6424,6878,36.944209
6496,6878,57.283952
6435,6878,48.257557
6509,6878,59.380595
6675,6878,40.910146
7085,6878,50.515593
6762,6878,69.437261
7181,6878,56.581494
6276,6878,46.961241
6328,6878,76.840152
7110,6878,55.514674
6895,6878,
6541,6878,53.570241
6352,6878,57.77142
7051,6878,57.414583
7089,6878,66.922833
6042,6878,21.013566
7213,6878,34.713086
6438,6878,59.490029
7086,6878,75.749177
6604,6878,70.044865
6120,6878,35.040491
6686,6878,29.540338
6959,6878,38.890979
7013,6878,31.987464
7101,6878,33.154487
6737,6878,34.846021
6043,6878,40.41453
7005,6878,31.958039
6937,6878,31.414391
6025,6878,27.570928
6278,6878,38.802003
6635,6878,35.009181
7083,6878,36.22668
6476,6878,33.850786
6443,6878,56.20351
6320,6878,42.842441
6430,6878,42.074143
6513,6878,47.395232
6494,6878,
6823,6878,57.376136
6648,6878,48.099426
6728,6878,42.694389
6736,6878,41.387409
6873,6878,51.462985
6949,6878,36.220859
6696,6878,45.508563
6921,6878,36.811782
6717,6878,51.661611
7000,6878,44.662482
7048,6878,59.764863
6117,6878,32.473503
6081,6878,39.765267
7122,6878,34.732345
6213,6878,
6202,6878,21.192609
7136,6878,42.813041
7042,6878,48.050568
6313,6878,25.741477
6250,6878,32.739147
6272,6878,36.853172
7071,6878,56.308635
6336,6878,30.695309
6346,6878,23.985112
6387,6878,31.585684
6385,6878,31.781783
6357,6878,30.21071
6239,6878,36.008452
6531,6878,26.722623
6439,6878,30.093072
6396,6878,29.369144
6548,6878,27.282808
6550,6878,31.918494
6558,6878,30.431592
6576,6878,
6715,6878,38.100959
6679,6878,31.71868
6761,6878,38.378598
6787,6878,29.360477
6812,6878,34.437901
6789,6878,30.232281
6806,6878,37.467003
6814,6878,28.451006
6824,6878,27.285914
6813,6878,32.148543
6838,6878,28.872767
6826,6878,46.260823
6858,6878,33.044817
6869,6878,45.139806
6922,6878,28.827324
6908,6878,29.086908
7012,6878,33.716491
7034,6878,
7006,6878,30.204559
7022,6878,34.010226
7096,6878,33.535001
7208,6878,31.359036
7151,6878,31.691672
6249,6878,30.196324
6518,6878,
7054,6878,31.506955
6642,6878,28.623018
6237,6878,28.973025
6342,6878,35.814393
6082,6878,31.754201
6514,6878,40.65485
6511,6878,27.231486
6567,6878,34.266672
6632,6878,32.822721
6630,6878,31.495947
6267,6878,33.789459
6655,6878,31.666622
6862,6878,31.082192
6877,6878,41.64652
6863,6878,33.924055
6374,6878,36.661045
7231,6878,43.777782
6390,6878,35.088805
6268,6878,34.749762
6540,6878,
6490,6878,32.212385
6520,6878,33.297397
6445,6878,31.945955
6523,6878,38.588715
6618,6878,31.709095
6780,6878,30.809011
7073,6878,47.659843
7149,6878,47.612932
6847,6878,45.488369
6788,6402,33.860031
6544,6402,34.268939
6800,6402,45.602975
7175,6402,13.044064
6669,6402,40.706882
6845,6402,10.667483
6878,6402,40.122786
6510,6402,62.825073
6417,6402,21.530997
6956,6402,38.196395
6323,6402,37.685609
6475,6402,45.3821
7064,6402,29.731432
7236,6402,19.126135
6335,6402,40.093976
6538,6402,110.826471
6624,6402,138.418992
6623,6402,63.921343
6453,6402,
6936,6402,171.718887
7066,6402,44.783411
6414,6402,44.694727
6852,6402,60.867929
6829,6402,55.052514
6225,6402,39.493464
6844,6402,44.111929
6426,6402,52.716357
6340,6402,37.417592
6952,6402,45.92698
6722,6402,61.805923
6545,6402,41.012946
6248,6402,36.995509
6448,6402,45.043868
6658,6402,67.447264
6251,6402,39.803153
6714,6402,51.965727
7210,6402,46.363963
6740,6402,64.72118
6734,6402,42.631018
6245,6402,33.85096
6942,6402,32.197356
6864,6402,59.353256
6269,6402,44.225214
7171,6402,52.761202
6965,6402,42.027746
6198,6402,31.519145
6049,6402,37.43516
