source_id,target_id,rtt
6544,6878,33.411678
6788,6878,38.782801
6845,6878,78.046623
6475,6878,39.731217
6417,6878,67.114331
6669,6878,9.050528
6956,6878,37.73339
6453,6878,46.58328
6800,6878,37.736765
6510,6878,62.660924
6402,6878,40.0747
6323,6878,57.046294
7064,6878,47.457971
7175,6878,32.399767
7236,6878,48.602996
6538,6878,68.448906
6335,6878,11.330274
6414,6878,51.667687
6624,6878,95.65347
6340,6878,37.991923
6844,6878,55.946652
6623,6878,26.487732
6225,6878,37.682688
6936,6878,124.339922
6829,6878,61.381127
6852,6878,65.096917
7066,6878,46.934303
6426,6878,42.579729
6545,6878,42.437095
6448,6878,35.393372
6714,6878,36.961217
6734,6878,19.051138
6248,6878,25.996845
6658,6878,69.781795
6740,6878,64.296718
6722,6878,
6965,6878,41.571886
6952,6878,36.83426
6251,6878,29.049343
7210,6878,198.388207
6864,6878,63.577599
6198,6878,12.711632
6942,6878,18.616912
6269,6878,25.934617
6245,6878,43.370389
6049,6878,25.541107
6382,6878,33.956531
7084,6878,
6441,6878,34.798102
7173,6878,55.203445
7171,6878,51.741877
6350,6878,
7130,6878,32.993055
6423,6878,44.50581
6501,6878,42.234487
6512,6878,37.045993
6536,6878,45.683867
6446,6878,33.695492
6695,6878,34.768202
6674,6878,
6552,6878,56.166175
7132,6878,85.95749
7125,6878,40.174069
6295,6878,78.33073
6609,6878,36.676392
6327,6878,45.209486
6654,6878,34.186414
6741,6878,73.420778
6235,6878,
6094,6878,33.524483
6647,6878,41.454062
6424,6878,36.913017
6435,6878,48.271124
7085,6878,50.613484
6895,6878,
6316,6878,38.374445
6762,6878,69.395968
6675,6878,40.922895
6716,6878,52.0078
6509,6878,59.450346
6496,6878,57.201955
7110,6878,55.53362
6276,6878,47.032677
7181,6878,56.55977
6328,6878,76.943819
7213,6878,34.727657
6120,6878,35.081557
6042,6878,21.017761
6604,6878,70.100413
6352,6878,57.772368
7089,6878,67.01726
6686,6878,29.541287
6476,6878,33.798717
6959,6878,38.87833
7051,6878,57.318264
7013,6878,32.016374
6541,6878,53.592491
6438,6878,59.603162
7083,6878,36.335268
6635,6878,34.983679
6937,6878,31.617911
6737,6878,34.766551
7101,6878,33.366707
7005,6878,31.921299
6043,6878,40.425782
6278,6878,38.797279
6320,6878,42.902981
6025,6878,27.616997
7086,6878,75.789239
6443,6878,56.252885
6494,6878,
6513,6878,47.359108
6648,6878,48.1171
6430,6878,42.074961
6717,6878,51.629504
6696,6878,45.486481
6736,6878,41.383845
6728,6878,42.783112
6921,6878,36.824229
6823,6878,57.47857
7000,6878,44.789963
6873,6878,51.436494
6949,6878,36.303859
7071,6878,56.272161
7042,6878,48.016
7048,6878,59.775563
7122,6878,34.61884
7136,6878,42.876022
6081,6878,39.696938
6117,6878,32.50147
6202,6878,21.184014
6213,6878,
6250,6878,32.703493
6313,6878,25.799323
6336,6878,30.705375
6272,6878,36.927588
6239,6878,36.121302
6387,6878,31.645595
6346,6878,23.939415
6357,6878,30.228661
6396,6878,29.419834
6385,6878,31.717232
6439,6878,30.121309
6531,6878,26.681323
6550,6878,31.857341
6548,6878,27.436984
6576,6878,
6558,6878,30.289611
6761,6878,38.44454
6679,6878,31.694168
6789,6878,30.309931
6812,6878,34.525526
6806,6878,37.650164
6787,6878,29.353457
6813,6878,32.107301
6814,6878,28.491577
6824,6878,27.259211
6715,6878,38.150244
6826,6878,46.215033
6922,6878,28.889552
6838,6878,28.867455
6869,6878,45.290541
6908,6878,29.085866
6858,6878,33.076009
7012,6878,33.739907
7022,6878,34.061465
7034,6878,
7006,6878,30.161346
7054,6878,31.481554
7208,6878,31.39742
7151,6878,31.679667
6237,6878,29.07107
6267,6878,33.820459
6642,6878,28.668774
6518,6878,
6249,6878,30.232476
6082,6878,31.681429
6511,6878,27.205185
6342,6878,35.858619
6374,6878,36.751624
6567,6878,34.362787
6632,6878,34.829457
6630,6878,31.512605
7096,6878,33.561953
6514,6878,40.647204
6862,6878,34.04941
7231,6878,43.757813
6863,6878,33.991669
6655,6878,31.666192
6268,6878,34.650823
6877,6878,41.611723
6490,6878,32.207486
6523,6878,38.055418
6390,6878,35.114159
6445,6878,31.990953
6540,6878,
6618,6878,31.698383
6520,6878,33.359802
6780,6878,30.78445
7149,6878,47.668786
7073,6878,47.640474
6847,6878,45.413344
6845,6402,10.671203
6669,6402,40.781365
6323,6402,37.703051
7175,6402,13.078565
6788,6402,33.803186
6878,6402,40.073497
7064,6402,29.697376
6956,6402,38.193041
6800,6402,45.597143
6510,6402,62.929601
6544,6402,34.252625
7236,6402,19.134929
6453,6402,
6475,6402,45.433689
6417,6402,21.514862
6538,6402,113.394074
6335,6402,40.311783
6623,6402,63.89878
6936,6402,171.333808
6414,6402,44.754209
6844,6402,44.050929
6852,6402,60.886211
6829,6402,55.016972
6624,6402,138.400862
7066,6402,44.614722
6225,6402,39.446598
6426,6402,52.714999
6340,6402,37.387775
6448,6402,45.020285
6545,6402,41.0297
6714,6402,51.985802
6248,6402,36.99551
6952,6402,45.93386
6722,6402,61.788382
6251,6402,39.72163
6658,6402,67.40193
6734,6402,42.562669
6965,6402,42.048459
6740,6402,64.731465
6245,6402,33.876285
7210,6402,46.333055
6198,6402,31.648248
6942,6402,32.127527
6269,6402,44.206523
7173,6402,73.00621
6864,6402,59.383363
6049,6402,37.437705
7171,6402,52.775523
6536,6402,58.430121
6350,6402,
6423,6402,41.158038
7130,6402,50.018445
6446,6402,33.997983
6382,6402,39.831831
6441,6402,48.03951
6501,6402,41.451444
6512,6402,36.552252
6552,6402,41.303608
6609,6402,37.176008
6695,6402,37.571701
7084,6402,54.156672
6674,6402,
6716,6402,40.163759
6647,6402,48.422086
6654,6402,24.220599
7132,6402,59.316123
6295,6402,69.863213
7125,6402,39.147442
6327,6402,24.411738
6741,6402,73.406709
6094,6402,25.648561
6235,6402,
6675,6402,29.618704
6435,6402,57.991702
6316,6402,38.161893
6424,6402,37.591081
6496,6402,58.938297
6509,6402,36.924029
6895,6402,
7110,6402,42.112475
7085,6402,33.212769
6276,6402,37.231178
7181,6402,41.759009
7051,6402,64.544166
6604,6402,44.340031
6328,6402,55.533221
6352,6402,56.581298
7213,6402,22.912523
6438,6402,5.763243
6541,6402,12.98082
6762,6402,57.926824
7089,6402,47.278355
7086,6402,54.815927
6686,6402,17.092476
6476,6402,37.256032
6120,6402,45.414612
6042,6402,13.187762
6635,6402,33.326521
7013,6402,30.883767
6937,6402,36.628698
7005,6402,35.184695
7101,6402,36.460677
6737,6402,33.028021
6043,6402,30.291846
6025,6402,30.984446
6443,6402,48.124072
6278,6402,34.299982
6320,6402,41.908189
6430,6402,40.23036
6959,6402,39.425719
7083,6402,38.707242
6494,6402,
6648,6402,46.944727
6728,6402,44.930029
6736,6402,37.124267
6823,6402,35.011106
6717,6402,50.078435
6696,6402,35.767228
6921,6402,31.774688
7000,6402,41.863516
6873,6402,45.496304
6949,6402,32.030322
6513,6402,36.891201
7048,6402,43.529766
7042,6402,31.325952
7122,6402,34.998296
7071,6402,43.354572
6202,6402,38.004299
6081,6402,38.859813
6213,6402,
6117,6402,35.115544
7136,6402,37.89193
6272,6402,32.709632
6250,6402,28.096535
6239,6402,34.258939
6336,6402,26.775415
6346,6402,39.536898
6357,6402,36.916631
6313,6402,27.725771
6385,6402,29.303715
6531,6402,33.81209
6387,6402,28.948937
6396,6402,33.54246
6550,6402,34.226311
6439,6402,27.386589
6548,6402,30.697683
6558,6402,27.595384
6679,6402,29.110934
6715,6402,28.771762
6576,6402,
6787,6402,34.493388
6789,6402,30.860228
6812,6402,32.031501
6824,6402,33.996902
6814,6402,30.988866
6813,6402,29.689334
6826,6402,32.405594
6838,6402,27.567766
6761,6402,35.784461
6858,6402,29.408921
6869,6402,31.970616
6806,6402,40.314874
6908,6402,42.552616
7012,6402,35.483549
6922,6402,29.745268
7006,6402,32.698628
7096,6402,45.340479
7151,6402,34.005587
6249,6402,30.412337
6518,6402,
7208,6402,28.719454
7022,6402,37.708018
6642,6402,31.047325
7054,6402,36.494588
6082,6402,31.963248
6237,6402,31.52843
6267,6402,37.808363
7034,6402,44.374574
6342,6402,35.848455
6374,6402,34.778472
6655,6402,34.86825
6862,6402,44.548237
6632,6402,31.528619
7231,6402,33.054402
6567,6402,33.103823
6863,6402,31.222191
6268,6402,33.393356
6630,6402,34.925561
6877,6402,32.418415
6511,6402,41.139405
6514,6402,31.088724
6390,6402,28.433895
6445,6402,24.672388
7073,6402,28.168765
6544,6845,34.66506
6878,6845,78.063875
6540,6402,
6847,6402,40.995681
7149,6402,25.11617
6523,6402,32.363064
6618,6402,34.670135
6780,6402,28.999375
6520,6402,31.825643
6402,6845,10.661669
6490,6402,34.648894
6788,6845,55.643139
7175,6845,54.475058
6800,6845,52.92089
