source_id,target_id,rtt
7175,6878,32.400058
6402,6878,40.081805
6800,6878,37.76894
6475,6878,40.17145
6417,6878,66.751456
6323,6878,57.131571
6669,6878,9.115107
6544,6878,33.414711
6453,6878,46.5439
6956,6878,37.777297
7064,6878,47.415985
6510,6878,62.686625
6845,6878,78.167532
6788,6878,38.793706
6538,6878,68.475236
6335,6878,11.388185
7236,6878,48.460149
6623,6878,26.391579
6426,6878,42.604408
6624,6878,95.778778
6829,6878,63.501562
6936,6878,124.255694
6225,6878,37.699395
6844,6878,55.94428
6340,6878,37.917424
6414,6878,51.713502
6852,6878,65.123965
7066,6878,46.935971
6545,6878,42.453635
6448,6878,35.378065
6714,6878,37.029126
6952,6878,36.784485
6734,6878,19.014381
6722,6878,
6251,6878,28.999905
6248,6878,25.996845
6658,6878,69.707465
6740,6878,64.34673
6245,6878,43.397119
7210,6878,198.519165
6965,6878,41.531718
6198,6878,12.753333
7171,6878,51.684321
6864,6878,63.57997
6942,6878,18.753357
6269,6878,25.908121
6049,6878,25.514098
6536,6878,45.649346
6350,6878,
7173,6878,55.299154
6441,6878,34.74978
6446,6878,33.69481
6382,6878,33.940402
7084,6878,
7130,6878,33.014738
6423,6878,44.580177
7125,6878,40.116488
6552,6878,56.247602
6512,6878,37.122092
6647,6878,41.366478
6716,6878,52.006648
7132,6878,85.930565
6695,6878,34.813543
6674,6878,
6654,6878,35.916282
6609,6878,36.721807
6741,6878,73.453865
6327,6878,45.259129
6501,6878,42.342394
6295,6878,78.362907
6094,6878,33.521763
6316,6878,38.525143
6496,6878,52.981114
6435,6878,48.300045
6424,6878,36.906973
6509,6878,59.453305
6235,6878,
7085,6878,50.531212
6675,6878,40.955056
6895,6878,
7181,6878,56.52311
7110,6878,55.513595
6762,6878,69.329572
6276,6878,47.03879
7213,6878,34.69781
6328,6878,76.829699
6438,6878,57.920515
6352,6878,57.827172
6541,6878,53.589987
7051,6878,57.263301
6604,6878,70.038806
7086,6878,75.859037
6042,6878,21.034436
6476,6878,33.875022
6120,6878,35.07156
7089,6878,67.018445
6686,6878,29.506164
6959,6878,38.952184
6937,6878,31.56413
6635,6878,34.963901
7083,6878,36.244188
7013,6878,32.059781
6025,6878,27.633042
6737,6878,34.85708
7101,6878,33.278684
6043,6878,40.465423
7005,6878,31.893006
6430,6878,42.066642
6278,6878,38.880966
6443,6878,56.286338
6494,6878,
6320,6878,42.888343
6728,6878,42.747871
6513,6878,47.324174
6873,6878,51.551716
6696,6878,45.526132
6717,6878,51.626255
6921,6878,36.799308
6736,6878,41.413775
6648,6878,48.142538
6823,6878,57.527211
7071,6878,56.374927
7000,6878,44.769943
7042,6878,48.052624
7048,6878,59.846508
6949,6878,36.195705
6081,6878,41.357176
7136,6878,42.859228
7122,6878,34.807143
6202,6878,21.232544
6213,6878,
6250,6878,32.744366
6239,6878,36.087397
6117,6878,32.489014
6272,6878,36.944984
6313,6878,25.756651
6357,6878,30.152114
6385,6878,31.809852
6336,6878,30.635401
6346,6878,23.954945
6439,6878,30.104657
6396,6878,29.397941
6387,6878,31.620074
6531,6878,26.678069
6558,6878,30.436403
6576,6878,
6679,6878,31.606381
6548,6878,27.395787
6550,6878,31.972057
6806,6878,37.474397
6789,6878,30.261441
6787,6878,29.368529
6761,6878,38.626195
6715,6878,38.222184
6814,6878,28.507542
6813,6878,32.142305
6812,6878,34.604005
6824,6878,27.389816
6908,6878,29.1768
6838,6878,28.939045
6869,6878,45.195767
6858,6878,33.045889
6826,6878,46.272875
7151,6878,31.714652
7034,6878,
7006,6878,30.274817
7096,6878,33.591213
6922,6878,28.904361
7022,6878,34.057081
7054,6878,31.528738
7012,6878,33.736712
7208,6878,31.430184
6082,6878,31.798923
6518,6878,
6249,6878,30.148872
6237,6878,29.007575
6642,6878,28.655049
6514,6878,40.676634
6632,6878,34.794786
6630,6878,31.529777
6374,6878,36.814504
6567,6878,34.337356
6342,6878,35.903449
6511,6878,27.14768
7231,6878,43.719524
6863,6878,33.983336
6268,6878,34.671825
6862,6878,34.075704
6877,6878,41.640054
6267,6878,33.821785
6390,6878,35.10087
6523,6878,38.280625
6445,6878,32.019462
6618,6878,31.765943
6520,6878,33.376507
6540,6878,
6490,6878,32.279229
6655,6878,31.693606
7149,6878,47.664579
6780,6878,30.795209
7073,6878,47.60092
6847,6878,45.431881
6878,6402,40.043032
6788,6402,33.857745
