source_id,target_id,rtt
6669,6878,9.059017
6417,6878,67.118805
6956,6878,37.505185
6402,6878,40.090991
7175,6878,32.331949
6845,6878,78.157169
6510,6878,62.674914
7064,6878,47.370333
6323,6878,57.0857
6544,6878,33.358046
6453,6878,46.557055
6475,6878,39.495984
6788,6878,38.769194
6800,6878,37.768353
6335,6878,11.376384
6538,6878,68.450368
7236,6878,48.55206
6624,6878,95.68302
6623,6878,26.466575
6829,6878,61.349548
6225,6878,37.685991
6936,6878,124.345402
6844,6878,55.980185
6852,6878,65.114588
7066,6878,46.831737
6414,6878,51.719884
6340,6878,37.99812
6545,6878,42.407179
6448,6878,35.357525
6714,6878,37.020365
6426,6878,42.544592
6952,6878,36.763362
6965,6878,41.548107
6722,6878,
6248,6878,25.996845
6740,6878,64.304319
6734,6878,19.056755
6251,6878,28.98657
7210,6878,198.307911
6658,6878,69.754991
6198,6878,12.762989
6942,6878,18.754491
6245,6878,43.433941
6864,6878,63.549028
7171,6878,51.691214
6269,6878,25.867285
6049,6878,25.440741
7173,6878,55.261429
7130,6878,33.019966
7084,6878,
6441,6878,34.754494
6536,6878,45.683621
6382,6878,33.97005
6350,6878,
6423,6878,44.559079
6512,6878,37.01864
6501,6878,42.294573
6552,6878,56.145983
6446,6878,33.671769
6609,6878,36.672723
6647,6878,41.378454
6674,6878,
6654,6878,34.260453
7125,6878,40.184449
6716,6878,51.957094
6695,6878,34.742999
6295,6878,78.411966
7132,6878,85.983914
6327,6878,45.297252
6741,6878,73.485714
6424,6878,36.970565
6316,6878,38.516611
6235,6878,
6094,6878,33.574105
6435,6878,48.256619
6496,6878,53.014414
6509,6878,59.427346
6895,6878,
7085,6878,50.601419
6675,6878,40.829229
6762,6878,69.337227
7110,6878,55.569021
7181,6878,56.583735
6328,6878,76.909664
6438,6878,59.482136
7213,6878,34.727602
7051,6878,57.278168
6276,6878,46.956507
6541,6878,53.575692
6352,6878,57.816415
6604,6878,70.075153
6686,6878,29.563216
7086,6878,75.773623
6476,6878,33.789548
6120,6878,35.137803
6042,6878,21.064428
7089,6878,67.033628
6737,6878,34.824787
7083,6878,36.319654
6959,6878,38.932526
6635,6878,34.94658
7013,6878,31.974501
6937,6878,31.821866
7005,6878,31.980825
6025,6878,27.61179
6320,6878,42.819096
6278,6878,38.841635
6443,6878,56.205833
6043,6878,40.462259
6430,6878,42.113313
7101,6878,33.186123
6513,6878,47.444435
6696,6878,45.512589
6717,6878,51.708192
6494,6878,
6648,6878,48.083342
6736,6878,41.395945
6728,6878,42.721722
6949,6878,36.175077
6921,6878,36.828779
7042,6878,47.989506
6823,6878,57.480697
6873,6878,51.493493
7000,6878,44.79701
7048,6878,59.757915
7071,6878,56.300019
6213,6878,
6081,6878,39.697238
6117,6878,32.53288
6202,6878,21.186339
7122,6878,34.698693
6272,6878,36.905387
6239,6878,36.097221
6313,6878,25.728827
6250,6878,32.685147
6346,6878,24.029704
6336,6878,30.625294
7136,6878,42.792535
6385,6878,31.792788
6357,6878,30.216812
6396,6878,29.372394
6387,6878,31.609342
6548,6878,27.343429
6439,6878,30.063446
6531,6878,26.613015
6715,6878,38.153396
6558,6878,30.423469
6550,6878,31.887488
6679,6878,31.676825
6787,6878,29.379711
6576,6878,
6761,6878,38.389959
6789,6878,30.220539
6806,6878,37.616722
6813,6878,32.190961
6826,6878,46.255391
6814,6878,28.527498
6824,6878,27.361513
6812,6878,34.490067
7012,6878,33.704228
6869,6878,45.075278
6908,6878,29.167845
7022,6878,34.069626
6838,6878,28.822383
7034,6878,
6922,6878,28.834451
6858,6878,33.006219
7006,6878,30.278041
7054,6878,31.451035
7096,6878,33.584699
7208,6878,31.397312
6518,6878,
6249,6878,30.226005
7151,6878,31.722555
6082,6878,31.786622
6511,6878,27.197883
6374,6878,36.728081
6514,6878,40.688286
6342,6878,35.860375
6642,6878,28.681485
6237,6878,28.964968
6267,6878,33.769733
6567,6878,34.356957
6630,6878,31.463264
6632,6878,34.894602
6862,6878,34.066679
6655,6878,31.65918
6863,6878,34.01357
6520,6878,33.260459
6490,6878,32.268978
6390,6878,35.127835
7231,6878,43.764922
6877,6878,41.569072
6523,6878,38.167101
